player_id,player_name,book_line,over_odds,under_odds,notes
244196,"Alcantara, Sandy",4.5,110,-145,BetRivers | Tampa Bay@Miami | eid=4783763
477074,"Baz, Shane",5.5,135,-180,BetRivers | Baltimore@Toronto | eid=4784452
592950,"Burrows, Mike",5.5,120,-160,BetRivers | Athletics@Houston | eid=4782868
642131,"Cameron, Noah",4.5,-130,100,BetRivers | Kansas City@Minnesota | eid=4783572
477025,"Cantillo, Joey",5.5,120,-160,BetRivers | Cleveland@Texas | eid=4783523
477020,"Cavalli, Cade",4.5,-115,-115,BetRivers | Washington@Arizona | eid=4783397
671813,"Drohan, Shane",3.5,-150,115,BetRivers | Milwaukee@Colorado | eid=4784025
572449,"Elder, Bryce",4.5,-150,115,BetRivers | Pittsburgh@Atlanta | eid=4783953
243724,"Flaherty, Jack",5.5,-145,110,BetRivers | Seattle@Detroit | eid=4784524
220576,"Freeland, Kyle",3.5,-115,-115,BetRivers | Milwaukee@Colorado | eid=4784025
146917,"Gausman, Kevin",6.5,115,-150,BetRivers | Baltimore@Toronto | eid=4784452
533673,"Jax, Griffin",4.5,105,-135,BetRivers | Tampa Bay@Miami | eid=4783763
680193,"Jump, Gage",4.5,-135,105,BetRivers | Athletics@Houston | eid=4782868
636652,"Lowder, Rhett",3.5,130,-170,BetRivers | Cincinnati@St. Louis | eid=4782236
615214,"McDonald, Trevor",4.5,110,-145,BetRivers | San Francisco@Chicago Cubs | eid=4782801
630695,"McGreevy, Michael",3.5,-165,125,BetRivers | Cincinnati@St. Louis | eid=4782236
147008,"Nola, Aaron",5.5,110,-145,BetRivers | Chicago White Sox@Philadelphia | eid=4783679
671824,"Prielipp, Connor",4.5,-120,-110,BetRivers | Kansas City@Minnesota | eid=4783572
652671,"Schlittler, Cam",6.5,130,-170,BetRivers | Boston@New York | eid=4783654
603238,"Sheehan, Emmet",6.5,100,-130,BetRivers | Los Angeles@Los Angeles | eid=4782913
507180,"Soriano, José",5.5,105,-135,BetRivers | Los Angeles@Los Angeles | eid=4782913
275745,"Soroka, Michael",4.5,-160,120,BetRivers | Washington@Arizona | eid=4783397
260716,"Suarez, Ranger",5.5,120,-160,BetRivers | Boston@New York | eid=4783654
147721,"Taillon, Jameson",4.5,110,-145,BetRivers | San Francisco@Chicago Cubs | eid=4782801
592988,"Vásquez, Randy",3.5,-145,110,BetRivers | New York@San Diego | eid=4782911
147168,"deGrom, Jacob",6.5,140,-185,BetRivers | Cleveland@Texas | eid=4783523
