player_id,player_name,book_line,over_odds,under_odds,notes
592943,"Brown, Ben",4.5,-165,125,BetRivers | Chicago Cubs@St. Louis | eid=4783879
477196,"Detmers, Reid",5.5,-105,-125,BetRivers | Los Angeles@Tampa Bay | eid=4782681
553943,"Feltner, Ryan",3.5,105,-135,BetRivers | San Francisco@Colorado | eid=4782656
634167,"Ginn, J.T.",4.5,-130,100,BetRivers | New York@Athletics | eid=4784192
146990,"Gray, Sonny",4.5,-150,115,BetRivers | Boston@Cleveland | eid=4782844
444605,"Griffin, Foster",5.5,145,-190,BetRivers | San Diego@Washington | eid=4782415
147182,"Houser, Adrian",3.5,105,-135,BetRivers | San Francisco@Colorado | eid=4782656
424838,"Kay, Anthony",4.5,110,-145,BetRivers | Detroit@Chicago White Sox | eid=4782714
355503,"Keller, Mitch",4.5,-105,-125,BetRivers | Minnesota@Pittsburgh | eid=4783127
427278,"King, Michael",5.5,105,-135,BetRivers | San Diego@Washington | eid=4782415
401292,"Lambert, Peter",5.5,130,-170,BetRivers | Milwaukee@Houston | eid=4782334
604725,"Leahy, Kyle",3.5,-160,120,BetRivers | Chicago Cubs@St. Louis | eid=4783879
147202,"Lugo, Seth",4.5,-135,105,BetRivers | Kansas City@Texas | eid=4782869
425119,"Luzardo, Jesús",5.5,-110,-120,BetRivers | Philadelphia@Los Angeles | eid=4784394
658558,"Messick, Parker",5.5,-150,115,BetRivers | Boston@Cleveland | eid=4782844
585941,"Nelson, Ryne",4.5,-160,120,BetRivers | Arizona@Seattle | eid=4782821
504573,"Ober, Bailey",3.5,-160,120,BetRivers | Minnesota@Pittsburgh | eid=4783127
444624,"Phillips, Tyler",3.5,-120,-110,BetRivers | Miami@New York | eid=4782699
147609,"Pérez, Martín",4.5,-115,-115,BetRivers | Atlanta@Cincinnati | eid=4783135
477068,"Rasmussen, Drew",5.5,-145,110,BetRivers | Los Angeles@Tampa Bay | eid=4782681
637462,"Rocker, Kumar",4.5,135,-180,BetRivers | Kansas City@Texas | eid=4782869
645431,"Sasaki, Roki",4.5,-145,110,BetRivers | Philadelphia@Los Angeles | eid=4784394
624177,"Scott, Christian",5.5,115,-150,BetRivers | Miami@New York | eid=4782699
477245,"Singer, Brady",4.5,110,-145,BetRivers | Atlanta@Cincinnati | eid=4783135
661768,"Sproat, Brandon",4.5,-135,105,BetRivers | Milwaukee@Houston | eid=4782334
329868,"Valdez, Framber",5.5,120,-160,BetRivers | Detroit@Chicago White Sox | eid=4782714
477076,"Weathers, Ryan",5.5,-180,135,BetRivers | New York@Athletics | eid=4784192
602514,"Woo, Bryan",5.5,-115,-115,BetRivers | Arizona@Seattle | eid=4782821
666999,"Yesavage, Trey",6.5,105,-135,BetRivers | Toronto@Baltimore | eid=4783505
642144,"Young, Brandon",3.5,-135,105,BetRivers | Toronto@Baltimore | eid=4783505
