player_id,player_name,fair_k,fair_k_line,book_line,batters_faced,lineup_source,game_status,k_sigma,run_mode,model_p_over,model_p_under,implied_p_over,implied_p_under,no_vig_p_over,no_vig_p_under,edge_over,edge_under,ev_over,ev_under,over_odds,under_odds,pick,pass_reason
687473,"Gusto, Ryan",4.023,4.0,3.5,18,default,Preview,3.023,early,0.5687,0.4313,0.5349,0.5349,0.5,0.5,0.0687,-0.0687,0.0632,-0.1936,-115,-115,PASS,below_min_ev(6%)
693821,"Elder, Bryce",4.438,4.5,4.5,21,default,Preview,3.023,early,0.4918,0.5082,0.4545,0.6154,0.4248,0.5752,0.067,-0.067,0.082,-0.1742,120,-160,PASS,below_min_ev(8%)
687064,"Young, Brandon",4.25,4.0,4.5,20,default,Preview,2.767,early,0.464,0.536,0.4545,0.6154,0.4248,0.5752,0.0392,-0.0392,0.0208,-0.129,120,-160,PASS,below_min_edge
681190,"Vásquez, Randy",3.465,3.5,3.5,18,default,Preview,2.646,early,0.4947,0.5053,0.5,0.5652,0.4694,0.5306,0.0253,-0.0253,-0.0106,-0.106,100,-130,PASS,below_min_edge
657277,"Webb, Logan",5.049,5.0,5.5,22,default,Preview,2.722,early,0.4342,0.5658,0.4651,0.6,0.4367,0.5633,-0.0025,0.0025,-0.0665,-0.057,115,-150,PASS,below_min_edge
687562,"Bennett, Jake",4.03,4.0,4.5,18,lineup,Live,2.372,early,0.4215,0.5785,0.4651,0.6,0.4367,0.5633,-0.0152,0.0152,-0.0938,-0.0358,115,-150,PASS,below_min_edge
547179,"Lorenzen, Michael",3.798,4.0,4.5,18,default,Preview,2.801,early,0.4011,0.5989,0.4444,0.6226,0.4165,0.5835,-0.0154,0.0154,-0.0976,-0.0381,125,-165,PASS,below_min_edge
678906,"Teng, Kai-Wei",4.776,5.0,5.5,19,lineup,Live,2.451,early,0.3839,0.6161,0.4444,0.6226,0.4165,0.5835,-0.0326,0.0326,-0.1363,-0.0104,125,-165,PASS,below_min_edge
677944,"Cecconi, Slade",3.989,4.0,4.5,19,default,Preview,2.722,early,0.4255,0.5745,0.4878,0.5745,0.4592,0.5408,-0.0337,0.0337,-0.1276,-0.0,105,-135,PASS,below_min_edge
669467,"Pallante, Andre",4.1,4.0,4.5,20,default,Preview,2.6,early,0.4389,0.5611,0.5122,0.5556,0.4797,0.5203,-0.0408,0.0408,-0.1432,0.01,-105,-125,PASS,below_min_edge
608379,"Wacha, Michael",4.212,4.0,4.5,21,lineup,Preview,2.372,early,0.4517,0.5483,0.5556,0.5122,0.5203,0.4797,-0.0686,0.0686,-0.187,0.0705,-125,-105,PASS,below_min_ev(7%)
681035,"Scott, Christian",4.085,4.0,4.5,18,lineup,Preview,2.296,early,0.4283,0.5717,0.5455,0.5238,0.5101,0.4899,-0.0818,0.0818,-0.2148,0.0915,-120,-110,PASS,below_min_ev(9%)
664285,"Valdez, Framber",4.324,4.5,4.5,20,lineup,Live,2.417,early,0.471,0.529,0.6,0.4651,0.5633,0.4367,-0.0923,0.0923,-0.215,0.1374,-150,115,PASS,below_min_ev(14%)
808967,"Yamamoto, Yoshinobu",5.202,5.0,6.5,21,default,Preview,2.646,early,0.3119,0.6881,0.4651,0.6,0.4367,0.5633,-0.1248,0.1248,-0.3294,0.1469,115,-150,PASS,below_min_ev(15%)
543037,"Cole, Gerrit",4.187,4.0,4.5,19,lineup,Live,2.372,early,0.4475,0.5525,0.6226,0.4444,0.5835,0.4165,-0.136,0.136,-0.2813,0.2431,-165,125,PASS,ev_cap(24%)
663436,"Martin, Davis",4.091,4.0,5.5,19,lineup,Preview,2.417,early,0.2799,0.7201,0.4444,0.6226,0.4165,0.5835,-0.1366,0.1366,-0.3702,0.1565,125,-165,PASS,fair_book_gap(1.4)
669302,"Gilbert, Logan",4.816,5.0,5.5,19,default,Preview,2.722,early,0.4008,0.5992,0.5918,0.4762,0.5541,0.4459,-0.1533,0.1533,-0.3228,0.2583,-145,110,PASS,ev_cap(26%)
656492,"Griffin, Foster",4.521,4.5,6.5,20,default,Preview,2.722,early,0.2336,0.7664,0.4348,0.6296,0.4085,0.5915,-0.1749,0.1749,-0.4627,0.2172,130,-170,PASS,fair_book_gap(2.0)
690986,"Harrison, Kyle",4.452,4.5,5.5,18,default,Preview,2.844,early,0.3563,0.6437,0.6,0.4651,0.5633,0.4367,-0.207,0.207,-0.4062,0.384,-150,115,PASS,ev_cap(38%)
678022,"Perkins, Jack",4.305,4.5,5.5,18,default,Preview,2.68,early,0.3278,0.6722,0.5918,0.4762,0.5541,0.4459,-0.2263,0.2263,-0.4461,0.4115,-145,110,PASS,ev_cap(41%)
672282,"Detmers, Reid",4.991,5.0,6.5,20,default,Preview,2.801,early,0.2951,0.7049,0.6296,0.4348,0.5915,0.4085,-0.2965,0.2965,-0.5314,0.6214,-170,130,PASS,ev_cap(62%)
695505,"Burns, Chase",4.979,5.0,7.5,19,lineup,Preview,2.372,early,0.144,0.856,0.4762,0.5918,0.4459,0.5541,-0.3019,0.3019,-0.6977,0.4464,110,-145,PASS,ev_cap(45%)
656302,"Cease, Dylan",5.257,5.5,7.5,19,lineup,Preview,2.296,early,0.1643,0.8357,0.5745,0.4878,0.5408,0.4592,-0.3765,0.3765,-0.714,0.7131,-135,105,PASS,ev_cap(71%)
