player_id,player_name,fair_k,fair_k_line,book_line,batters_faced,lineup_source,game_status,k_sigma,run_mode,model_p_over,model_p_under,implied_p_over,implied_p_under,no_vig_p_over,no_vig_p_under,edge_over,edge_under,ev_over,ev_under,over_odds,under_odds,pick,pass_reason
663568,"Kolek, Stephen",3.918,4.0,3.5,20,lineup,Live,2.451,early,0.5677,0.4323,0.5238,0.5455,0.4899,0.5101,0.0778,-0.0778,0.0838,-0.2074,-110,-120,PASS,below_min_ev(8%)
687064,"Young, Brandon",3.949,4.0,3.5,20,lineup,Live,2.296,early,0.5775,0.4225,0.5918,0.4762,0.5541,0.4459,0.0234,-0.0234,-0.0242,-0.1128,-145,110,PASS,below_min_edge
672456,"Montero, Keider",3.636,3.5,3.5,18,lineup,Live,2.41,early,0.5225,0.4775,0.5556,0.5122,0.5203,0.4797,0.0022,-0.0022,-0.0595,-0.0677,-125,-105,PASS,below_min_edge
693821,"Elder, Bryce",4.216,4.0,4.5,20,lineup,Final,2.451,early,0.4539,0.5461,0.4878,0.5745,0.4592,0.5408,-0.0053,0.0053,-0.0695,-0.0494,105,-135,PASS,below_min_edge
674841,"Alvarez, Andrew",3.797,4.0,4.5,18,lineup,Final,2.389,early,0.3843,0.6157,0.4255,0.6429,0.3983,0.6017,-0.014,0.014,-0.097,-0.0422,135,-180,PASS,below_min_edge
547179,"Lorenzen, Michael",3.736,3.5,3.5,18,lineup,Live,2.389,early,0.5394,0.4606,0.5918,0.4762,0.5541,0.4459,-0.0148,0.0148,-0.0887,-0.0326,-145,110,PASS,below_min_edge
687473,"Gusto, Ryan",3.674,3.5,3.5,18,lineup,Final,2.897,early,0.5239,0.4761,0.5745,0.4878,0.5408,0.4592,-0.0168,0.0168,-0.0879,-0.0241,-135,105,PASS,below_min_edge
607259,"Martinez, Nick",3.714,3.5,3.5,19,lineup,Final,2.481,early,0.5344,0.4656,0.6,0.4651,0.5633,0.4367,-0.0289,0.0289,-0.1094,0.0011,-150,115,PASS,below_min_edge
677944,"Cecconi, Slade",3.664,3.5,3.5,18,lineup,Final,2.33,early,0.5281,0.4719,0.6429,0.4255,0.6017,0.3983,-0.0737,0.0737,-0.1786,0.1091,-180,135,PASS,below_min_ev(11%)
656849,"Peterson, David",4.12,4.0,4.5,19,lineup,Preview,2.531,early,0.4403,0.5597,0.5745,0.4878,0.5408,0.4592,-0.1005,0.1005,-0.2335,0.1473,-135,105,PASS,below_min_ev(15%)
669160,"May, Dustin",4.29,4.5,5.5,20,lineup,Live,2.494,early,0.3138,0.6862,0.4444,0.6226,0.4165,0.5835,-0.1027,0.1027,-0.2939,0.1021,125,-165,PASS,below_min_ev(10%)
657277,"Webb, Logan",4.759,5.0,5.5,21,lineup,Final,2.531,early,0.3848,0.6152,0.5238,0.5455,0.4899,0.5101,-0.105,0.105,-0.2653,0.1278,-110,-120,PASS,below_min_ev(13%)
663436,"Martin, Davis",4.247,4.0,5.5,19,lineup,Live,2.435,early,0.3034,0.6966,0.4444,0.6226,0.4165,0.5835,-0.1131,0.1131,-0.3173,0.1188,125,-165,PASS,below_min_ev(12%)
678906,"Teng, Kai-Wei",4.795,5.0,5.5,19,lineup,Final,2.451,early,0.3868,0.6132,0.5455,0.5238,0.5101,0.4899,-0.1233,0.1233,-0.2908,0.1706,-120,-110,UNDER,
684007,"Imanaga, Shota",4.158,4.0,4.5,18,default,Final,2.801,early,0.4514,0.5486,0.6154,0.4545,0.5752,0.4248,-0.1237,0.1237,-0.2664,0.2069,-160,120,UNDER,
543135,"Eovaldi, Nathan",4.909,5.0,5.5,21,lineup,Live,2.573,early,0.4092,0.5908,0.5745,0.4878,0.5408,0.4592,-0.1316,0.1316,-0.2877,0.2112,-135,105,UNDER,
678022,"Perkins, Jack",4.38,4.5,5.5,18,lineup,Live,2.372,early,0.3184,0.6816,0.5238,0.5455,0.4899,0.5101,-0.1715,0.1715,-0.3921,0.2496,-110,-120,PASS,ev_cap(25%)
801139,"Tolle, Payton",4.655,4.5,6.5,20,lineup,Live,2.538,early,0.2337,0.7663,0.4651,0.6,0.4367,0.5633,-0.203,0.203,-0.4976,0.2772,115,-150,PASS,ev_cap(28%)
672282,"Detmers, Reid",5.299,5.5,6.5,19,lineup,Live,2.372,early,0.3063,0.6937,0.5455,0.5238,0.5101,0.4899,-0.2038,0.2038,-0.4384,0.3243,-120,-110,PASS,ev_cap(32%)
686218,"Sheehan, Emmet",4.711,4.5,6.5,18,lineup,Live,2.829,early,0.2636,0.7364,0.5238,0.5455,0.4899,0.5101,-0.2263,0.2263,-0.4969,0.3502,-110,-120,PASS,ev_cap(35%)
554430,"Wheeler, Zack",5.093,5.0,6.5,20,lineup,Preview,2.33,early,0.273,0.727,0.5455,0.5238,0.5101,0.4899,-0.2372,0.2372,-0.4996,0.388,-120,-110,PASS,ev_cap(39%)
656302,"Cease, Dylan",4.921,5.0,6.5,18,default,Final,2.767,early,0.2841,0.7159,0.5652,0.5,0.5306,0.4694,-0.2465,0.2465,-0.4974,0.4318,-130,100,PASS,ev_cap(43%)
669302,"Gilbert, Logan",4.75,5.0,6.5,19,lineup,Live,2.372,early,0.2303,0.7697,0.5918,0.4762,0.5541,0.4459,-0.3238,0.3238,-0.6108,0.6163,-145,110,PASS,ev_cap(62%)
695505,"Burns, Chase",4.918,5.0,7.5,19,lineup,Live,2.342,early,0.1352,0.8648,0.4878,0.5745,0.4592,0.5408,-0.324,0.324,-0.7229,0.5055,105,-135,PASS,ev_cap(51%)
