player_id,player_name,fair_k,fair_k_line,book_line,batters_faced,lineup_source,game_status,k_sigma,run_mode,model_p_over,model_p_under,implied_p_over,implied_p_under,no_vig_p_over,no_vig_p_under,edge_over,edge_under,ev_over,ev_under,over_odds,under_odds,pick,pass_reason
663568,"Kolek, Stephen",3.918,4.0,3.5,20,lineup,Final,2.451,confirmed,0.5677,0.4323,0.5238,0.5455,0.4899,0.5101,0.0778,-0.0778,0.0838,-0.2074,-110,-120,PASS,game_started
687064,"Young, Brandon",3.957,4.0,3.5,20,lineup,Final,2.296,confirmed,0.5789,0.4211,0.5918,0.4762,0.5541,0.4459,0.0247,-0.0247,-0.0219,-0.1156,-145,110,PASS,game_started
672456,"Montero, Keider",3.636,3.5,3.5,18,lineup,Final,2.41,confirmed,0.5225,0.4775,0.5556,0.5122,0.5203,0.4797,0.0022,-0.0022,-0.0595,-0.0677,-125,-105,PASS,game_started
693821,"Elder, Bryce",4.216,4.0,4.5,20,lineup,Final,2.451,confirmed,0.4539,0.5461,0.4878,0.5745,0.4592,0.5408,-0.0053,0.0053,-0.0695,-0.0494,105,-135,PASS,game_started
547179,"Lorenzen, Michael",3.746,3.5,3.5,18,lineup,Final,2.389,confirmed,0.541,0.459,0.5918,0.4762,0.5541,0.4459,-0.0131,0.0131,-0.0859,-0.0361,-145,110,PASS,game_started
674841,"Alvarez, Andrew",3.797,4.0,4.5,18,lineup,Final,2.389,confirmed,0.3843,0.6157,0.4255,0.6429,0.3983,0.6017,-0.014,0.014,-0.097,-0.0422,135,-180,PASS,game_started
687473,"Gusto, Ryan",3.674,3.5,3.5,18,lineup,Final,2.897,confirmed,0.5239,0.4761,0.5745,0.4878,0.5408,0.4592,-0.0168,0.0168,-0.0879,-0.0241,-135,105,PASS,game_started
607259,"Martinez, Nick",3.714,3.5,3.5,19,lineup,Final,2.481,confirmed,0.5344,0.4656,0.6,0.4651,0.5633,0.4367,-0.0289,0.0289,-0.1094,0.0011,-150,115,PASS,game_started
677944,"Cecconi, Slade",3.664,3.5,3.5,18,lineup,Final,2.33,confirmed,0.5281,0.4719,0.6429,0.4255,0.6017,0.3983,-0.0737,0.0737,-0.1786,0.1091,-180,135,PASS,game_started
656849,"Peterson, David",4.12,4.0,4.5,19,lineup,Live,2.531,confirmed,0.4403,0.5597,0.5556,0.5122,0.5203,0.4797,-0.08,0.08,-0.2074,0.0927,-125,-105,PASS,game_started
669160,"May, Dustin",4.445,4.5,5.5,20,lineup,Final,2.494,confirmed,0.3362,0.6638,0.4444,0.6226,0.4165,0.5835,-0.0803,0.0803,-0.2436,0.0662,125,-165,PASS,game_started
657277,"Webb, Logan",4.759,5.0,5.5,21,lineup,Final,2.531,confirmed,0.3848,0.6152,0.5238,0.5455,0.4899,0.5101,-0.105,0.105,-0.2653,0.1278,-110,-120,PASS,game_started
663436,"Martin, Davis",4.247,4.0,5.5,19,lineup,Final,2.435,confirmed,0.3034,0.6966,0.4444,0.6226,0.4165,0.5835,-0.1131,0.1131,-0.3173,0.1188,125,-165,PASS,game_started
678906,"Teng, Kai-Wei",4.795,5.0,5.5,19,lineup,Final,2.451,confirmed,0.3868,0.6132,0.5455,0.5238,0.5101,0.4899,-0.1233,0.1233,-0.2908,0.1706,-120,-110,PASS,game_started
684007,"Imanaga, Shota",4.158,4.0,4.5,18,default,Final,2.801,confirmed,0.4514,0.5486,0.6154,0.4545,0.5752,0.4248,-0.1237,0.1237,-0.2664,0.2069,-160,120,PASS,game_started
543135,"Eovaldi, Nathan",4.95,5.0,5.5,21,lineup,Final,2.573,confirmed,0.4154,0.5846,0.5745,0.4878,0.5408,0.4592,-0.1254,0.1254,-0.2769,0.1985,-135,105,PASS,game_started
678022,"Perkins, Jack",4.288,4.5,5.5,18,lineup,Final,2.372,confirmed,0.3047,0.6953,0.5238,0.5455,0.4899,0.5101,-0.1852,0.1852,-0.4183,0.2747,-110,-120,PASS,game_started
801139,"Tolle, Payton",4.731,4.5,6.5,20,lineup,Final,2.538,confirmed,0.2429,0.7571,0.4651,0.6,0.4367,0.5633,-0.1937,0.1937,-0.4777,0.2618,115,-150,PASS,game_started
686218,"Sheehan, Emmet",4.879,5.0,6.5,18,lineup,Final,2.829,confirmed,0.2833,0.7167,0.5238,0.5455,0.4899,0.5101,-0.2066,0.2066,-0.4591,0.3139,-110,-120,PASS,game_started
554430,"Wheeler, Zack",5.093,5.0,6.5,20,lineup,Live,2.33,confirmed,0.273,0.727,0.5349,0.5349,0.5,0.5,-0.227,0.227,-0.4897,0.3592,-115,-115,PASS,game_started
672282,"Detmers, Reid",5.093,5.0,6.5,19,lineup,Final,2.372,confirmed,0.2766,0.7234,0.5455,0.5238,0.5101,0.4899,-0.2336,0.2336,-0.493,0.3811,-120,-110,PASS,game_started
656302,"Cease, Dylan",4.921,5.0,6.5,18,default,Final,2.767,confirmed,0.2841,0.7159,0.5652,0.5,0.5306,0.4694,-0.2465,0.2465,-0.4974,0.4318,-130,100,PASS,game_started
669302,"Gilbert, Logan",4.807,5.0,6.5,19,lineup,Final,2.372,confirmed,0.2377,0.7623,0.5918,0.4762,0.5541,0.4459,-0.3164,0.3164,-0.5983,0.6008,-145,110,PASS,game_started
695505,"Burns, Chase",4.918,5.0,7.5,19,lineup,Final,2.342,confirmed,0.1352,0.8648,0.4878,0.5745,0.4592,0.5408,-0.324,0.324,-0.7229,0.5055,105,-135,PASS,game_started
