player_id,player_name,fair_k,fair_k_line,book_line,batters_faced,lineup_source,game_status,game_start,k_sigma,run_mode,model_p_over,model_p_under,implied_p_over,implied_p_under,no_vig_p_over,no_vig_p_under,edge_over,edge_under,ev_over,ev_under,over_odds,under_odds,pick,pass_reason
694297,"Pfaadt, Brandon",3.836,4.0,3.5,20,lineup,Preview,2026-07-01T01:40:00Z,2.531,confirmed,0.5528,0.4472,0.4444,0.6226,0.4165,0.5835,0.1363,-0.1363,0.2438,-0.2818,125,-165,OVER,
685299,"Gordon, Tanner",3.824,4.0,3.5,18,lineup,Preview,2026-07-01T00:40:00Z,2.41,confirmed,0.5535,0.4465,0.4545,0.6154,0.4248,0.5752,0.1286,-0.1286,0.2176,-0.2744,120,-160,OVER,
607200,"Fedde, Erick",3.457,3.5,3.5,18,lineup,Live,2026-06-30T22:35:00Z,2.417,confirmed,0.4929,0.5071,0.4762,0.5918,0.4459,0.5541,0.047,-0.047,0.0351,-0.1432,110,-145,PASS,game_started
695076,"Lowder, Rhett",4.201,4.0,4.5,20,lineup,Live,2026-06-30T23:40:00Z,2.342,confirmed,0.4492,0.5508,0.4545,0.6154,0.4248,0.5752,0.0244,-0.0244,-0.0117,-0.105,120,-160,PASS,game_started
702070,"Cameron, Noah",4.104,4.0,4.5,20,lineup,Live,2026-06-30T23:40:00Z,2.573,confirmed,0.4388,0.5612,0.4444,0.6226,0.4165,0.5835,0.0223,-0.0223,-0.0126,-0.0988,125,-165,PASS,game_started
669461,"Liberatore, Matthew",3.79,4.0,4.5,18,lineup,Live,2026-06-30T23:15:00Z,2.775,confirmed,0.399,0.601,0.4255,0.6429,0.3983,0.6017,0.0007,-0.0007,-0.0623,-0.0651,135,-180,PASS,game_started
676664,"Sears, JP",3.952,4.0,3.5,19,lineup,Live,2026-07-01T00:05:00Z,2.553,confirmed,0.5703,0.4297,0.6154,0.4545,0.5752,0.4248,-0.0049,0.0049,-0.0733,-0.0546,-160,120,PASS,game_started
694346,"Gibson, Trey",3.919,4.0,4.5,18,lineup,Live,2026-06-30T22:35:00Z,2.57,confirmed,0.4106,0.5894,0.4545,0.6154,0.4248,0.5752,-0.0143,0.0143,-0.0967,-0.0422,120,-160,PASS,game_started
527048,"Pérez, Martín",3.612,3.5,3.5,18,lineup,Live,2026-06-30T23:15:00Z,2.481,confirmed,0.518,0.482,0.5918,0.4762,0.5541,0.4459,-0.0361,0.0361,-0.1248,0.0122,-145,110,PASS,game_started
643377,"Jax, Griffin",4.703,4.5,4.5,18,lineup,Live,2026-06-30T23:40:00Z,2.494,confirmed,0.5324,0.4676,0.6154,0.4545,0.5752,0.4248,-0.0427,0.0427,-0.1348,0.0287,-160,120,PASS,game_started
605488,"Springs, Jeffrey",3.656,3.5,4.5,18,lineup,Preview,2026-07-01T01:40:00Z,2.372,confirmed,0.361,0.639,0.4444,0.6226,0.4165,0.5835,-0.0555,0.0555,-0.1878,0.0263,125,-165,PASS,below_min_ev(3%)
696149,"Chandler, Bubba",4.207,4.0,4.5,19,lineup,Live,2026-06-30T22:40:00Z,2.417,confirmed,0.4517,0.5483,0.5652,0.5,0.5306,0.4694,-0.0789,0.0789,-0.2008,0.0965,-130,100,PASS,game_started
691587,"Pérez, Eury",4.422,4.5,5.5,18,lineup,Preview,2026-07-01T00:40:00Z,2.481,confirmed,0.332,0.668,0.4444,0.6226,0.4165,0.5835,-0.0845,0.0845,-0.2531,0.0729,125,-165,PASS,below_min_ev(7%)
680736,"Wrobleski, Justin",4.418,4.5,4.5,19,lineup,Preview,2026-07-01T01:40:00Z,2.573,confirmed,0.4873,0.5127,0.6154,0.4545,0.5752,0.4248,-0.0879,0.0879,-0.2082,0.128,-160,120,PASS,below_min_ev(13%)
676917,"Cavalli, Cade",4.069,4.0,4.5,18,lineup,Live,2026-06-30T23:10:00Z,2.611,confirmed,0.4344,0.5656,0.5652,0.5,0.5306,0.4694,-0.0962,0.0962,-0.2314,0.1311,-130,100,PASS,game_started
694738,"Roupp, Landen",4.083,4.0,4.5,19,lineup,Preview,2026-07-01T01:40:00Z,2.462,confirmed,0.4327,0.5673,0.5652,0.5,0.5306,0.4694,-0.0979,0.0979,-0.2344,0.1345,-130,100,PASS,below_min_ev(13%)
681347,"Burrows, Mike",4.088,4.0,4.5,19,lineup,Live,2026-07-01T00:10:00Z,2.451,confirmed,0.4333,0.5667,0.5745,0.4878,0.5408,0.4592,-0.1075,0.1075,-0.2458,0.1618,-135,105,PASS,game_started
676440,"Bibee, Tanner",4.03,4.0,5.5,19,lineup,Live,2026-06-30T22:40:00Z,2.417,confirmed,0.2715,0.7285,0.4545,0.6154,0.4248,0.5752,-0.1533,0.1533,-0.4027,0.1838,120,-160,PASS,game_started
592332,"Gausman, Kevin",4.348,4.5,5.5,19,lineup,Live,2026-06-30T23:07:00Z,2.695,confirmed,0.3345,0.6655,0.5455,0.5238,0.5101,0.4899,-0.1756,0.1756,-0.3867,0.2704,-120,-110,PASS,game_started
813349,"Early, Connelly",4.608,4.5,5.5,20,lineup,Live,2026-06-30T23:10:00Z,2.389,confirmed,0.3544,0.6456,0.5652,0.5,0.5306,0.4694,-0.1762,0.1762,-0.373,0.2912,-130,100,PASS,game_started
690997,"McLean, Nolan",4.181,4.0,5.5,20,lineup,Live,2026-06-30T23:07:00Z,2.691,confirmed,0.312,0.688,0.5349,0.5349,0.5,0.5,-0.188,0.188,-0.4167,0.2863,-115,-115,PASS,game_started
687075,"Sproat, Brandon",3.991,4.0,5.5,18,lineup,Live,2026-06-30T23:40:00Z,2.494,confirmed,0.2726,0.7274,0.5349,0.5349,0.5,0.5,-0.2274,0.2274,-0.4903,0.3599,-115,-115,PASS,game_started
667755,"Soriano, José",4.146,4.0,5.5,18,lineup,Preview,2026-07-01T01:40:00Z,2.538,confirmed,0.2969,0.7031,0.5652,0.5,0.5306,0.4694,-0.2337,0.2337,-0.4748,0.4062,-130,100,PASS,ev_cap(41%)
594798,"deGrom, Jacob",5.251,5.5,6.5,20,lineup,Live,2026-06-30T22:40:00Z,2.435,confirmed,0.304,0.696,0.5745,0.4878,0.5408,0.4592,-0.2368,0.2368,-0.4709,0.4268,-135,105,PASS,game_started
693645,"Schlittler, Cam",5.237,5.0,7.5,20,lineup,Live,2026-06-30T23:05:00Z,2.494,confirmed,0.1821,0.8179,0.4762,0.5918,0.4459,0.5541,-0.2637,0.2637,-0.6175,0.3819,110,-145,PASS,game_started
657746,"Ryan, Joe",4.762,5.0,6.5,19,lineup,Live,2026-07-01T00:10:00Z,2.531,confirmed,0.2461,0.7539,0.6,0.4651,0.5633,0.4367,-0.3172,0.3172,-0.5898,0.6208,-150,115,PASS,game_started
693433,"Woo, Bryan",4.631,4.5,7.5,19,lineup,Preview,2026-07-01T01:40:00Z,2.451,confirmed,0.1209,0.8791,0.5,0.5652,0.4694,0.5306,-0.3485,0.3485,-0.7582,0.5553,100,-130,PASS,ev_cap(56%)
669373,"Skubal, Tarik",4.886,5.0,7.5,19,lineup,Live,2026-06-30T23:05:00Z,2.417,confirmed,0.1397,0.8603,0.5238,0.5455,0.4899,0.5101,-0.3502,0.3502,-0.7333,0.5772,-110,-120,PASS,game_started
650911,"Sánchez, Cristopher",4.96,5.0,7.5,20,lineup,Live,2026-06-30T22:40:00Z,2.296,confirmed,0.1343,0.8657,0.5455,0.5238,0.5101,0.4899,-0.3758,0.3758,-0.7537,0.6527,-120,-110,PASS,game_started
