player_id,player_name,fair_k,fair_k_line,book_line,batters_faced,lineup_source,game_status,k_sigma,run_mode,model_p_over,model_p_under,implied_p_over,implied_p_under,no_vig_p_over,no_vig_p_under,edge_over,edge_under,ev_over,ev_under,over_odds,under_odds,pick,pass_reason
663969,"Phillips, Tyler",3.592,3.5,3.5,18,lineup,Live,2.49,early,0.5147,0.4853,0.5,0.5652,0.4694,0.5306,0.0453,-0.0453,0.0295,-0.1415,100,-130,PASS,below_min_edge
518876,"Kelly, Merrill",3.925,4.0,3.5,20,lineup,Live,2.417,early,0.5698,0.4302,0.5652,0.5,0.5306,0.4694,0.0392,-0.0392,0.0081,-0.1396,-130,100,PASS,below_min_edge
663372,"Feltner, Ryan",4.144,4.0,4.5,19,lineup,Live,2.451,early,0.4423,0.5577,0.4348,0.6296,0.4085,0.5915,0.0338,-0.0338,0.0172,-0.1142,130,-170,PASS,below_min_edge
641793,"Littell, Zack",3.589,3.5,3.5,18,lineup,Live,2.818,early,0.5126,0.4874,0.5238,0.5455,0.4899,0.5101,0.0227,-0.0227,-0.0214,-0.1064,-110,-120,PASS,below_min_edge
691951,"Aldegheri, Sam",4.158,4.0,3.5,18,lineup,Live,2.342,early,0.6106,0.3894,0.6296,0.4348,0.5915,0.4085,0.0191,-0.0191,-0.0302,-0.1044,-170,130,PASS,below_min_edge
681517,"Leahy, Kyle",4.175,4.0,4.5,19,lineup,Live,2.33,early,0.4445,0.5555,0.5,0.5652,0.4694,0.5306,-0.0249,0.0249,-0.1109,-0.0173,100,-130,PASS,below_min_edge
677958,"Rocker, Kumar",3.664,3.5,3.5,18,lineup,Live,2.342,early,0.5279,0.4721,0.6,0.4651,0.5633,0.4367,-0.0354,0.0354,-0.1202,0.015,-150,115,PASS,below_min_edge
679883,"Avila, Luinder",3.819,4.0,3.5,18,lineup,Live,2.758,early,0.546,0.454,0.6226,0.4444,0.5835,0.4165,-0.0375,0.0375,-0.123,0.0214,-165,125,PASS,below_min_edge
650644,"Civale, Aaron",3.748,3.5,4.5,18,lineup,Live,2.41,early,0.3775,0.6225,0.4545,0.6154,0.4248,0.5752,-0.0473,0.0473,-0.1695,0.0116,120,-160,PASS,below_min_edge
592662,"Ray, Robbie",4.591,4.5,5.5,20,lineup,Preview,2.573,early,0.362,0.638,0.4444,0.6226,0.4165,0.5835,-0.0545,0.0545,-0.1856,0.0247,125,-165,PASS,below_min_ev(2%)
650633,"King, Michael",4.499,4.5,4.5,21,lineup,Preview,2.573,early,0.4998,0.5002,0.6154,0.4545,0.5752,0.4248,-0.0753,0.0753,-0.1878,0.1003,-160,120,PASS,below_min_ev(10%)
663903,"Singer, Brady",4.164,4.0,4.5,19,lineup,Live,2.372,early,0.4437,0.5563,0.5745,0.4878,0.5408,0.4592,-0.0971,0.0971,-0.2277,0.1405,-135,105,PASS,below_min_ev(14%)
687570,"Prielipp, Connor",4.552,4.5,5.5,20,lineup,Live,2.739,early,0.3646,0.6354,0.5,0.5652,0.4694,0.5306,-0.1048,0.1048,-0.2708,0.1241,100,-130,PASS,below_min_ev(12%)
641743,"Kay, Anthony",3.847,4.0,4.5,19,lineup,Live,2.372,early,0.3916,0.6084,0.5349,0.5349,0.5,0.5,-0.1084,0.1084,-0.268,0.1375,-115,-115,PASS,below_min_ev(14%)
656605,"Keller, Mitch",4.348,4.5,4.5,20,lineup,Live,2.342,early,0.4741,0.5259,0.6226,0.4444,0.5835,0.4165,-0.1094,0.1094,-0.2385,0.1832,-165,125,UNDER,
669456,"Bieber, Shane",4.056,4.0,4.5,18,lineup,Live,2.451,early,0.4281,0.5719,0.5745,0.4878,0.5408,0.4592,-0.1127,0.1127,-0.2547,0.1723,-135,105,UNDER,
680694,"Bradish, Kyle",4.82,5.0,5.5,21,lineup,Live,2.628,early,0.3979,0.6021,0.5745,0.4878,0.5408,0.4592,-0.1429,0.1429,-0.3073,0.2343,-135,105,PASS,ev_cap(23%)
656427,"Flaherty, Jack",4.371,4.5,5.5,18,lineup,Live,2.666,early,0.336,0.664,0.5238,0.5455,0.4899,0.5101,-0.1539,0.1539,-0.3586,0.2174,-110,-120,UNDER,
686218,"Sheehan, Emmet",4.348,4.5,5.5,18,lineup,Preview,2.804,early,0.3406,0.6594,0.5349,0.5349,0.5,0.5,-0.1594,0.1594,-0.3632,0.2328,-115,-115,PASS,ev_cap(23%)
543243,"Gray, Sonny",4.621,4.5,5.5,21,default,Preview,2.881,early,0.3801,0.6199,0.5745,0.4878,0.5408,0.4592,-0.1606,0.1606,-0.3383,0.2707,-135,105,PASS,ev_cap(27%)
656876,"Rasmussen, Drew",4.323,4.5,5.5,20,lineup,Live,2.342,early,0.3077,0.6923,0.5122,0.5556,0.4797,0.5203,-0.172,0.172,-0.3993,0.2462,-105,-125,PASS,ev_cap(25%)
676106,"Hancock, Emerson",3.597,3.5,4.5,18,lineup,Live,2.296,early,0.3471,0.6529,0.5745,0.4878,0.5408,0.4592,-0.1937,0.1937,-0.3959,0.3385,-135,105,PASS,ev_cap(34%)
605540,"Woodruff, Brandon",4.133,4.0,5.5,18,lineup,Live,2.902,early,0.3188,0.6812,0.6,0.4651,0.5633,0.4367,-0.2445,0.2445,-0.4687,0.4646,-150,115,PASS,ev_cap(46%)
666200,"Luzardo, Jesús",5.317,5.5,6.5,21,lineup,Live,2.435,early,0.3135,0.6865,0.6,0.4651,0.5633,0.4367,-0.2498,0.2498,-0.4775,0.4759,-150,115,PASS,ev_cap(48%)
686613,"Brown, Hunter",4.809,5.0,6.5,18,lineup,Live,2.435,early,0.2437,0.7563,0.6,0.4651,0.5633,0.4367,-0.3196,0.3196,-0.5939,0.6261,-150,115,PASS,ev_cap(63%)
668909,"Williams, Gavin",4.428,4.5,6.5,18,lineup,Live,2.417,early,0.1956,0.8044,0.5745,0.4878,0.5408,0.4592,-0.3452,0.3452,-0.6595,0.649,-135,105,PASS,ev_cap(65%)
519242,"Sale, Chris",5.213,5.0,7.5,20,lineup,Preview,2.494,early,0.1796,0.8204,0.6,0.4651,0.5633,0.4367,-0.3837,0.3837,-0.7006,0.7638,-150,115,PASS,ev_cap(76%)
