player_id,player_name,fair_k,fair_k_line,book_line,batters_faced,lineup_source,game_status,game_start,k_sigma,run_mode,model_p_over,model_p_under,implied_p_over,implied_p_under,no_vig_p_over,no_vig_p_under,edge_over,edge_under,ev_over,ev_under,over_odds,under_odds,pick,pass_reason
641778,"Lauer, Eric",4.305,4.5,3.5,18,lineup,Preview,2026-06-30T01:40:00Z,2.527,confirmed,0.625,0.375,0.6154,0.4545,0.5752,0.4248,0.0498,-0.0498,0.0156,-0.1749,-160,120,PASS,below_min_edge
640455,"Manaea, Sean",4.206,4.0,4.5,18,lineup,Live,2026-06-29T23:07:00Z,2.417,confirmed,0.4516,0.5484,0.4444,0.6226,0.4165,0.5835,0.0351,-0.0351,0.0161,-0.1192,125,-165,PASS,game_started
656288,"Canning, Griffin",4.039,4.0,3.5,18,lineup,Preview,2026-06-30T00:05:00Z,2.451,confirmed,0.587,0.413,0.6154,0.4545,0.5752,0.4248,0.0119,-0.0119,-0.0461,-0.0914,-160,120,PASS,below_min_edge
696270,"Johnson, Ryan",4.058,4.0,4.5,18,lineup,Preview,2026-06-30T01:40:00Z,2.494,confirmed,0.4297,0.5703,0.4651,0.6,0.4367,0.5633,-0.007,0.007,-0.0762,-0.0495,115,-150,PASS,below_min_edge
645261,"Alcantara, Sandy",4.379,4.5,4.5,22,lineup,Preview,2026-06-30T00:40:00Z,2.372,confirmed,0.4797,0.5203,0.5238,0.5455,0.4899,0.5101,-0.0102,0.0102,-0.0843,-0.046,-110,-120,PASS,below_min_edge
805673,"Matthews, Zebby",4.83,5.0,4.5,21,lineup,Preview,2026-06-30T00:10:00Z,2.342,confirmed,0.556,0.444,0.6154,0.4545,0.5752,0.4248,-0.0191,0.0191,-0.0965,-0.0232,-160,120,PASS,below_min_edge
641816,"Mahle, Tyler",3.731,3.5,3.5,18,lineup,Preview,2026-06-30T01:40:00Z,2.417,confirmed,0.5381,0.4619,0.6226,0.4444,0.5835,0.4165,-0.0454,0.0454,-0.1358,0.0393,-165,125,PASS,below_min_edge
666157,"Lodolo, Nick",3.9,4.0,4.5,18,lineup,Live,2026-06-29T23:40:00Z,2.737,confirmed,0.4132,0.5868,0.5455,0.5238,0.5101,0.4899,-0.0969,0.0969,-0.2424,0.1202,-120,-110,PASS,game_started
593958,"Rodriguez, Eduardo",4.092,4.0,4.5,19,lineup,Preview,2026-06-30T01:40:00Z,2.764,confirmed,0.4413,0.5587,0.5745,0.4878,0.5408,0.4592,-0.0995,0.0995,-0.2318,0.1453,-135,105,PASS,below_min_ev(15%)
669358,"Baz, Shane",4.384,4.5,5.5,20,lineup,Live,2026-06-29T22:35:00Z,2.435,confirmed,0.3233,0.6767,0.4878,0.5745,0.4592,0.5408,-0.1359,0.1359,-0.3371,0.1779,105,-135,PASS,game_started
