player_id,player_name,fair_k,fair_k_line,book_line,batters_faced,lineup_source,game_status,game_start,k_sigma,run_mode,model_p_over,model_p_under,implied_p_over,implied_p_under,no_vig_p_over,no_vig_p_under,edge_over,edge_under,ev_over,ev_under,over_odds,under_odds,pick,pass_reason
694297,"Pfaadt, Brandon",4.246,4.0,3.5,20,default,Preview,2026-07-01T01:40:00Z,2.881,early,0.6022,0.3978,0.4444,0.6226,0.4165,0.5835,0.1857,-0.1857,0.3549,-0.361,125,-165,PASS,ev_cap(35%)
685299,"Gordon, Tanner",3.794,4.0,3.5,18,default,Preview,2026-07-01T00:40:00Z,2.76,early,0.5424,0.4576,0.4545,0.6154,0.4248,0.5752,0.1176,-0.1176,0.1933,-0.2564,120,-160,OVER,
607200,"Fedde, Erick",3.457,3.5,3.5,18,lineup,Preview,2026-06-30T22:35:00Z,2.417,early,0.4929,0.5071,0.4651,0.6,0.4367,0.5633,0.0562,-0.0562,0.0597,-0.1548,115,-150,PASS,below_min_ev(6%)
695076,"Lowder, Rhett",4.201,4.0,4.5,20,lineup,Preview,2026-06-30T23:40:00Z,2.342,early,0.4492,0.5508,0.4545,0.6154,0.4248,0.5752,0.0244,-0.0244,-0.0117,-0.105,120,-160,PASS,below_min_edge
669461,"Liberatore, Matthew",3.79,4.0,4.5,18,lineup,Preview,2026-06-30T23:15:00Z,2.775,early,0.399,0.601,0.4255,0.6429,0.3983,0.6017,0.0007,-0.0007,-0.0623,-0.0651,135,-180,PASS,below_min_edge
676664,"Sears, JP",3.952,4.0,3.5,19,lineup,Preview,2026-07-01T00:05:00Z,2.553,early,0.5703,0.4297,0.6226,0.4444,0.5835,0.4165,-0.0132,0.0132,-0.0841,-0.0331,-165,125,PASS,below_min_edge
694346,"Gibson, Trey",3.919,4.0,4.5,18,lineup,Preview,2026-06-30T22:35:00Z,2.57,early,0.4106,0.5894,0.4545,0.6154,0.4248,0.5752,-0.0143,0.0143,-0.0967,-0.0422,120,-160,PASS,below_min_edge
605488,"Springs, Jeffrey",3.825,4.0,4.5,18,default,Preview,2026-07-01T01:40:00Z,2.722,early,0.4021,0.5979,0.4444,0.6226,0.4165,0.5835,-0.0144,0.0144,-0.0953,-0.0397,125,-165,PASS,below_min_edge
702070,"Cameron, Noah",4.104,4.0,4.5,20,lineup,Preview,2026-06-30T23:40:00Z,2.573,early,0.4388,0.5612,0.4878,0.5745,0.4592,0.5408,-0.0204,0.0204,-0.1004,-0.0232,105,-135,PASS,below_min_edge
527048,"Pérez, Martín",3.612,3.5,3.5,18,lineup,Preview,2026-06-30T23:15:00Z,2.481,early,0.518,0.482,0.5745,0.4878,0.5408,0.4592,-0.0228,0.0228,-0.0983,-0.0119,-135,105,PASS,below_min_edge
