player_id,player_name,fair_k,fair_k_line,book_line,batters_faced,lineup_source,game_status,game_start,k_sigma,run_mode,model_p_over,model_p_under,implied_p_over,implied_p_under,no_vig_p_over,no_vig_p_under,edge_over,edge_under,ev_over,ev_under,over_odds,under_odds,pick,pass_reason
700241,"McGreevy, Michael",3.704,3.5,3.5,19,default,Preview,2026-07-01T23:15:00Z,2.722,early,0.5299,0.4701,0.4348,0.6296,0.4085,0.5915,0.1214,-0.1214,0.2187,-0.2533,130,-170,OVER,
669372,"Ginn, J.T.",4.916,5.0,4.5,21,default,Preview,2026-07-02T01:40:00Z,2.6,early,0.5636,0.4364,0.4878,0.5745,0.4592,0.5408,0.1044,-0.1044,0.1553,-0.2403,105,-135,OVER,
625643,"López, Reynaldo",3.803,4.0,3.5,18,default,Preview,2026-07-01T23:15:00Z,3.041,early,0.5397,0.4603,0.4651,0.6,0.4367,0.5633,0.103,-0.103,0.1603,-0.2328,115,-150,OVER,
607536,"Freeland, Kyle",4.314,4.5,3.5,21,default,Preview,2026-07-02T00:40:00Z,2.722,early,0.6175,0.3825,0.5918,0.4762,0.5541,0.4459,0.0634,-0.0634,0.0434,-0.1968,-145,110,PASS,below_min_ev(4%)
671096,"Abbott, Andrew",4.103,4.0,4.5,19,default,Preview,2026-07-02T00:10:00Z,2.722,early,0.442,0.558,0.4255,0.6429,0.3983,0.6017,0.0437,-0.0437,0.0388,-0.132,135,-180,PASS,below_min_edge
702273,"Schultz, Noah",4.121,4.0,3.5,18,lineup,Live,2026-07-01T16:35:00Z,2.417,early,0.6014,0.3986,0.6154,0.4545,0.5752,0.4248,0.0262,-0.0262,-0.0227,-0.1231,-160,120,PASS,below_min_edge
607067,"Rea, Colin",3.785,4.0,3.5,19,lineup,Preview,2026-07-01T18:20:00Z,2.531,early,0.5448,0.4552,0.6,0.4651,0.5633,0.4367,-0.0185,0.0185,-0.092,-0.0214,-150,115,PASS,below_min_edge
607625,"Lugo, Seth",3.651,3.5,3.5,18,default,Preview,2026-07-01T23:40:00Z,3.087,early,0.5195,0.4805,0.6,0.4651,0.5633,0.4367,-0.0438,0.0438,-0.1342,0.0331,-150,115,PASS,below_min_edge
663556,"McClanahan, Shane",4.085,4.0,4.5,18,default,Preview,2026-07-01T23:40:00Z,2.844,early,0.442,0.558,0.5349,0.5349,0.5,0.5,-0.058,0.058,-0.1737,0.0432,-115,-115,PASS,below_min_ev(4%)
621111,"Buehler, Walker",3.439,3.5,3.5,18,lineup,Preview,2026-07-01T18:20:00Z,2.296,early,0.4894,0.5106,0.6154,0.4545,0.5752,0.4248,-0.0858,0.0858,-0.2047,0.1233,-160,120,PASS,below_min_ev(12%)
669022,"Gore, MacKenzie",5.297,5.5,5.5,20,lineup,Preview,2026-07-01T17:10:00Z,2.41,early,0.4664,0.5336,0.6,0.4651,0.5633,0.4367,-0.0969,0.0969,-0.2226,0.1472,-150,115,PASS,below_min_ev(15%)
642547,"Peralta, Freddy",3.999,4.0,4.5,18,lineup,Preview,2026-07-01T19:07:00Z,2.462,early,0.4194,0.5806,0.5652,0.5,0.5306,0.4694,-0.1112,0.1112,-0.258,0.1613,-130,100,UNDER,
676282,"Cantillo, Joey",4.637,4.5,5.5,19,lineup,Preview,2026-07-01T17:10:00Z,2.599,early,0.3699,0.6301,0.5238,0.5455,0.4899,0.5101,-0.12,0.12,-0.2938,0.1552,-110,-120,UNDER,
675512,"Melton, Troy",3.822,4.0,4.5,18,lineup,Preview,2026-07-01T17:35:00Z,2.389,early,0.3883,0.6117,0.5556,0.5122,0.5203,0.4797,-0.132,0.132,-0.3011,0.1943,-125,-105,UNDER,
675660,"Drohan, Shane",4.353,4.5,4.5,18,default,Preview,2026-07-02T00:10:00Z,2.722,early,0.4785,0.5215,0.6552,0.4082,0.6161,0.3839,-0.1377,0.1377,-0.2697,0.2778,-190,145,PASS,ev_cap(28%)
676974,"Meyer, Max",4.715,4.5,5.5,20,default,Preview,2026-07-02T00:40:00Z,2.801,early,0.3897,0.6103,0.5652,0.5,0.5306,0.4694,-0.141,0.141,-0.3106,0.2207,-130,100,PASS,ev_cap(22%)
801139,"Tolle, Payton",4.371,4.5,5.5,19,lineup,Preview,2026-07-01T17:35:00Z,2.417,early,0.3202,0.6798,0.5122,0.5556,0.4797,0.5203,-0.1595,0.1595,-0.3749,0.2237,-105,-125,PASS,ev_cap(22%)
701542,"Warren, Will",4.618,4.5,5.5,20,lineup,Preview,2026-07-01T17:35:00Z,2.553,early,0.3649,0.6351,0.5652,0.5,0.5306,0.4694,-0.1658,0.1658,-0.3545,0.2703,-130,100,PASS,ev_cap(27%)
671737,"Bradley, Taj",4.543,4.5,5.5,20,default,Preview,2026-07-02T00:10:00Z,2.923,early,0.3717,0.6283,0.5745,0.4878,0.5408,0.4592,-0.1691,0.1691,-0.353,0.288,-135,105,PASS,ev_cap(29%)
837227,"Imai, Tatsuya",4.417,4.5,5.5,18,default,Preview,2026-07-02T00:10:00Z,3.25,early,0.3695,0.6305,0.6154,0.4545,0.5752,0.4248,-0.2057,0.2057,-0.3996,0.3871,-160,120,PASS,ev_cap(39%)
554430,"Wheeler, Zack",4.887,5.0,6.5,19,default,Preview,2026-07-01T22:40:00Z,2.692,early,0.2746,0.7254,0.6154,0.4545,0.5752,0.4248,-0.3006,0.3006,-0.5539,0.596,-160,120,PASS,ev_cap(60%)
694973,"Skenes, Paul",4.852,5.0,6.5,19,default,Preview,2026-07-01T22:40:00Z,2.646,early,0.2667,0.7333,0.6154,0.4545,0.5752,0.4248,-0.3084,0.3084,-0.5666,0.6132,-160,120,PASS,ev_cap(61%)
