player_id,player_name,fair_k,fair_k_line,book_line,batters_faced,lineup_source,game_status,k_sigma,run_mode,model_p_over,model_p_under,implied_p_over,implied_p_under,no_vig_p_over,no_vig_p_under,edge_over,edge_under,ev_over,ev_under,over_odds,under_odds,pick,pass_reason
700241,"McGreevy, Michael",3.749,3.5,3.5,19,lineup,Preview,2.342,confirmed,0.5423,0.4577,0.4878,0.5745,0.4592,0.5408,0.0831,-0.0831,0.1118,-0.2033,105,-135,PASS,below_min_ev(11%)
607536,"Freeland, Kyle",4.145,4.0,3.5,20,lineup,Preview,2.507,confirmed,0.6015,0.3985,0.6154,0.4545,0.5752,0.4248,0.0263,-0.0263,-0.0225,-0.1233,-160,120,PASS,below_min_edge
681190,"Vásquez, Randy",3.462,3.5,3.5,18,lineup,Preview,2.342,confirmed,0.4935,0.5065,0.5349,0.5349,0.5,0.5,-0.0065,0.0065,-0.0773,-0.0531,-115,-115,PASS,below_min_edge
607625,"Lugo, Seth",3.656,3.5,4.5,18,lineup,Preview,2.783,confirmed,0.3808,0.6192,0.4255,0.6429,0.3983,0.6017,-0.0175,0.0175,-0.1051,-0.0368,135,-180,PASS,below_min_edge
695076,"Lowder, Rhett",3.854,4.0,4.5,18,lineup,Preview,2.75,confirmed,0.4071,0.5929,0.4545,0.6154,0.4248,0.5752,-0.0177,0.0177,-0.1043,-0.0366,120,-160,PASS,below_min_edge
527048,"Pérez, Martín",3.711,3.5,3.5,18,lineup,Preview,2.25,confirmed,0.5374,0.4626,0.6,0.4651,0.5633,0.4367,-0.026,0.026,-0.1044,-0.0053,-150,115,PASS,below_min_edge
687570,"Prielipp, Connor",3.676,3.5,3.5,19,lineup,Preview,2.645,confirmed,0.5265,0.4735,0.5918,0.4762,0.5541,0.4459,-0.0276,0.0276,-0.1103,-0.0057,-145,110,PASS,below_min_edge
643377,"Jax, Griffin",4.411,4.5,4.5,18,lineup,Preview,2.372,confirmed,0.485,0.515,0.5556,0.5122,0.5203,0.4797,-0.0353,0.0353,-0.1269,0.0054,-125,-105,PASS,below_min_edge
676440,"Bibee, Tanner",4.033,4.0,4.5,20,lineup,Preview,2.372,confirmed,0.422,0.578,0.5122,0.5556,0.4797,0.5203,-0.0577,0.0577,-0.1762,0.0405,-105,-125,PASS,below_min_ev(4%)
605488,"Springs, Jeffrey",4.283,4.5,4.5,18,lineup,Preview,2.538,confirmed,0.4659,0.5341,0.5745,0.4878,0.5408,0.4592,-0.0749,0.0749,-0.1889,0.0948,-135,105,PASS,below_min_ev(9%)
676962,"Brown, Ben",4.025,4.0,4.5,18,lineup,Final,2.435,confirmed,0.4227,0.5773,0.5455,0.5238,0.5101,0.4899,-0.0875,0.0875,-0.2251,0.1022,-120,-110,PASS,game_started
696149,"Chandler, Bubba",4.218,4.0,4.5,19,lineup,Preview,2.33,confirmed,0.4518,0.5482,0.5918,0.4762,0.5541,0.4459,-0.1023,0.1023,-0.2366,0.1511,-145,110,UNDER,
647336,"Soroka, Michael",4.453,4.5,5.5,20,lineup,Preview,2.372,confirmed,0.3295,0.6705,0.4651,0.6,0.4367,0.5633,-0.1072,0.1072,-0.2916,0.1175,115,-150,PASS,below_min_ev(12%)
837227,"Imai, Tatsuya",4.091,4.0,4.5,18,lineup,Preview,3.013,confirmed,0.446,0.554,0.6,0.4651,0.5633,0.4367,-0.1173,0.1173,-0.2566,0.1911,-150,115,UNDER,
667755,"Soriano, José",4.255,4.5,4.5,19,lineup,Preview,2.583,confirmed,0.4622,0.5378,0.6296,0.4348,0.5915,0.4085,-0.1293,0.1293,-0.2659,0.2369,-170,130,UNDER,
694738,"Roupp, Landen",4.034,4.0,5.5,18,lineup,Preview,2.372,confirmed,0.2683,0.7317,0.4762,0.5918,0.4459,0.5541,-0.1776,0.1776,-0.4366,0.2363,110,-145,UNDER,
682243,"Miller, Bryce",3.82,4.0,4.5,18,lineup,Preview,2.617,confirmed,0.3975,0.6025,0.6226,0.4444,0.5835,0.4165,-0.186,0.186,-0.3616,0.3557,-165,125,PASS,ev_cap(36%)
592332,"Gausman, Kevin",4.359,4.5,5.5,19,lineup,Final,2.462,confirmed,0.3215,0.6785,0.5556,0.5122,0.5203,0.4797,-0.1988,0.1988,-0.4213,0.3247,-125,-105,PASS,game_started
624133,"Suarez, Ranger",4.584,4.5,5.5,20,lineup,Preview,2.342,confirmed,0.3479,0.6521,0.5918,0.4762,0.5541,0.4459,-0.2063,0.2063,-0.4122,0.3695,-145,110,PASS,ev_cap(37%)
808963,"Sasaki, Roki",4.279,4.5,5.5,19,default,Preview,2.801,confirmed,0.3315,0.6685,0.6,0.4651,0.5633,0.4367,-0.2319,0.2319,-0.4476,0.4373,-150,115,PASS,lineup_default
594798,"deGrom, Jacob",4.604,4.5,6.5,19,lineup,Preview,2.342,confirmed,0.2091,0.7909,0.5122,0.5556,0.4797,0.5203,-0.2706,0.2706,-0.5917,0.4236,-105,-125,PASS,ev_cap(42%)
693645,"Schlittler, Cam",4.81,5.0,6.5,19,lineup,Preview,2.628,confirmed,0.2601,0.7399,0.5918,0.4762,0.5541,0.4459,-0.294,0.294,-0.5605,0.5538,-145,110,PASS,ev_cap(55%)
669373,"Skubal, Tarik",4.765,5.0,6.5,19,lineup,Live,2.389,confirmed,0.2338,0.7662,0.5652,0.5,0.5306,0.4694,-0.2968,0.2968,-0.5863,0.5324,-130,100,PASS,game_started
694819,"Misiorowski, Jacob",5.846,6.0,8.5,21,lineup,Preview,2.41,confirmed,0.1354,0.8646,0.5,0.5652,0.4694,0.5306,-0.334,0.334,-0.7292,0.5297,100,-130,PASS,ev_cap(53%)
