player_id,player_name,pitcher_throws,opp_lhb_pct,batters_faced,notes
676962,"Brown, Ben",R,0.6667,,Chicago Cubs @ St. Louis Cardinals | opp_lhb_lineup
672282,"Detmers, Reid",L,0.4444,,Los Angeles Angels @ Tampa Bay Rays | opp_lhb_lineup
663372,"Feltner, Ryan",R,0.5556,,San Francisco Giants @ Colorado Rockies | opp_lhb_lineup
669372,"Ginn, J.T.",R,0.6667,,New York Yankees @ Athletics | opp_lhb_lineup
543243,"Gray, Sonny",R,0.5556,,Boston Red Sox @ Cleveland Guardians | opp_lhb_lineup
656492,"Griffin, Foster",L,0.2222,,San Diego Padres @ Washington Nationals | opp_lhb_lineup
605288,"Houser, Adrian",R,0.5556,,San Francisco Giants @ Colorado Rockies | opp_lhb_lineup
641743,"Kay, Anthony",L,0.5556,,Detroit Tigers @ Chicago White Sox | opp_lhb_lineup
656605,"Keller, Mitch",R,0.4444,,Minnesota Twins @ Pittsburgh Pirates | opp_lhb_lineup
650633,"King, Michael",R,0.5556,,San Diego Padres @ Washington Nationals | opp_lhb_lineup
663567,"Lambert, Peter",R,0.5556,,Milwaukee Brewers @ Houston Astros | opp_lhb_lineup
681517,"Leahy, Kyle",R,0.4444,,Chicago Cubs @ St. Louis Cardinals | opp_lhb_lineup
607625,"Lugo, Seth",R,0.3333,,Kansas City Royals @ Texas Rangers | opp_lhb_lineup
666200,"Luzardo, Jesús",L,0.3333,,Philadelphia Phillies @ Los Angeles Dodgers | opp_lhb_lineup
800048,"Messick, Parker",L,0.4444,,Boston Red Sox @ Cleveland Guardians | opp_lhb_lineup
669194,"Nelson, Ryne",R,0.6667,,Arizona Diamondbacks @ Seattle Mariners | opp_lhb_lineup
641927,"Ober, Bailey",R,0.6667,,Minnesota Twins @ Pittsburgh Pirates | opp_lhb_lineup
663969,"Phillips, Tyler",R,0.5556,,Miami Marlins @ New York Mets | opp_lhb_lineup
527048,"Pérez, Martín",L,0.2222,,Atlanta Braves @ Cincinnati Reds | opp_lhb_lineup
656876,"Rasmussen, Drew",R,0.2222,,Los Angeles Angels @ Tampa Bay Rays | opp_lhb_lineup
677958,"Rocker, Kumar",R,0.4444,,Kansas City Royals @ Texas Rangers | opp_lhb_lineup
808963,"Sasaki, Roki",R,0.4444,,Philadelphia Phillies @ Los Angeles Dodgers | opp_lhb_lineup
681035,"Scott, Christian",R,0.6667,,Miami Marlins @ New York Mets | opp_lhb_lineup
663903,"Singer, Brady",R,0.5556,,Atlanta Braves @ Cincinnati Reds | opp_lhb_lineup
687075,"Sproat, Brandon",R,0.2222,,Milwaukee Brewers @ Houston Astros | opp_lhb_lineup
664285,"Valdez, Framber",L,0.5556,,Detroit Tigers @ Chicago White Sox | opp_lhb_lineup
677960,"Weathers, Ryan",L,0.3333,,New York Yankees @ Athletics | opp_lhb_lineup
693433,"Woo, Bryan",R,0.5556,,Arizona Diamondbacks @ Seattle Mariners | opp_lhb_lineup
702056,"Yesavage, Trey",R,0.6667,,Toronto Blue Jays @ Baltimore Orioles | opp_lhb_lineup
687064,"Young, Brandon",R,0.4444,,Toronto Blue Jays @ Baltimore Orioles | opp_lhb_lineup
