pick,picks,wins,losses,pushes,units,win_pct,roi_pct,avg_pick_ev
OVER,7,1,6,0,-5.4118,14.3,-77.3,0.0358
UNDER,39,20,19,0,-3.2219,51.3,-8.3,0.1207
